control_id,family,title,control_statement,owner_role,evidence_requirement,test_procedure,test_frequency,automation_feasibility,automation_label,automation_rationale,mapped_frameworks,mapping_count
GV-01,Governance,Information security policy suite,"A board-approved security policy suite exists, is reviewed at least annually, is version controlled, and each policy names an accountable owner and the standards that implement it.",CISO,Approved policy documents with version history; approval record naming the approving body and date; annual review record; policy-to-standard mapping table.,"Select the policy suite index. Confirm each policy has an approval record within 12 months, a named owner still employed in that role, and at least one implementing standard. Confirm the version in the document repository matches the version published to staff.",Annual,2,Largely manual; automation limited to reminders and workflow state,Approval and review are human governance acts; only the review-due tracking automates.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,14
GV-02,Governance,"Security roles, responsibilities and decision authority","Security roles, decision rights, escalation paths and risk-acceptance authority are defined, documented and communicated, with segregation between those who operate a control and those who verify it.",CISO,Charter or equivalent authority document; RACI; delegation-of-authority records; org chart extract showing the operate/verify split.,Trace three enforcement decisions from the prior year to the authority that made them. Confirm the decider held the documented authority at the time and that the verifier was not the operator of the control.,Annual,1,"Manual by nature (judgement, negotiation, or physical observation)",Authority is an organizational construct; no system holds it as machine-readable state.,N53 CSF SOC2 HIPAA FEDRAMP ISO IEC62443 CIP SOX GDPR,15
GV-03,Governance,Risk acceptance and exception governance,"Deviations from security standards are registered, time-bounded, compensated, approved at an authority tier proportional to residual exposure, and void on expiry.",GRC Manager,"Exception register extract with tier, accepter, expiry and compensating controls; risk acceptance records; evidence of void/closure actions for expired items.","Sample 15 open exceptions. Confirm each has a named accepter with documented authority for its tier, an expiry within policy maximum, a stated exit condition, and evidence that the compensating controls are operating. Confirm zero items past expiry without a void record.",Quarterly,3,Evidence extractable on demand; human assembles and attests scope,"Register state, aging and expiry are automatable; tiering and compensating-control adequacy are judgements.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,16
GV-04,Governance,Compliance obligation register,"Applicable statutory, regulatory and contractual security obligations are identified, recorded with their source, assigned to an owner, and mapped to the controls that satisfy them.",Compliance Manager,"Obligation register with citation, owner, applicable scope and mapped control IDs; evidence of review following any regulatory change.",Confirm the register covers every regime in the declared scope profile. Select three obligations and confirm the mapped controls exist in the library and are implemented in the scope the obligation applies to.,Semi-annual,2,Largely manual; automation limited to reminders and workflow state,"Regulatory change monitoring can be fed by subscription services, but applicability is a legal judgement.",N53 CSF SOC2 HIPAA FEDRAMP ISO IEC62443 SOX GDPR,13
RM-01,Risk Management,Enterprise security risk assessment,"A documented risk assessment methodology is applied at least annually and on material change, producing scored risks with named owners and treatment decisions.",GRC Manager,Methodology document; completed assessment with scoring inputs; risk register entries created or updated; evidence of assessment following a material change.,Confirm the most recent assessment is within 12 months and covers all in-scope systems. Select five risks and trace the score to its documented inputs. Confirm a material change in the period triggered a reassessment.,Annual,2,Largely manual; automation limited to reminders and workflow state,Scoring and scenario construction are analytic work; only register mechanics automate.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX GDPR,17
RM-02,Risk Management,Risk register and treatment tracking,"A single enterprise risk register records inherent and residual scoring, treatment decision, owner, target date and evidence, and is reviewed on a defined cadence by severity.",GRC Manager,Register extract with all mandatory fields populated; review meeting minutes; evidence of treatment progress for a sample of entries.,Confirm no register entry lacks an owner or a review date within its cadence. Recompute residual scores for five entries from the recorded control state. Confirm accepted risks carry a valid acceptance record.,Quarterly,3,Evidence extractable on demand; human assembles and attests scope,"Field completeness, aging and cadence compliance are machine-checkable; scoring is not.",N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 SOX GDPR,15
RM-03,Risk Management,System categorization and impact levels,"Each system is categorized by the confidentiality, integrity and availability impact of its data and function, and the categorization drives the control baseline applied to it.",Enterprise Architect,"System inventory with categorization, data types and rationale; baseline assignment per category; approval by the system owner and the data owner.",Select five systems across categories. Confirm the categorization matches the data actually processed (sampled from the data inventory) and that the applied baseline matches the category.,Annual,3,Evidence extractable on demand; human assembles and attests scope,Categorization can be inherited from the data inventory once that is reliable; the initial determination is judgement.,N53 CSF SOC2 HIPAA FEDRAMP ISO IEC62443 CIP SOX GDPR,11
AM-01,Asset Management,Hardware asset inventory,"An authoritative inventory of hardware assets is maintained with owner, location, criticality and network zone, reconciled against at least two independent discovery sources.",IT Operations Manager,Inventory export; reconciliation report showing discovery-source deltas and their disposition; unowned-asset aging report.,Reconcile the inventory against endpoint-agent and network-discovery sources. Quantify assets present in one source and absent from the inventory. Confirm deltas older than 30 days have a disposition.,Monthly,4,Evidence extracted by scheduled job; human reviews exceptions only,Discovery and reconciliation automate well; ownership assignment and disposition of orphans require a human.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX,11
AM-02,Asset Management,Software inventory and authorized software,"Installed software is inventoried, compared against an authorized-software list, and unauthorized or end-of-support software is identified with a remediation or acceptance record.",IT Operations Manager,Software inventory export; authorized list with approval dates; end-of-support report with dispositions; acceptance records for any retained unsupported software.,Sample 20 endpoints and 10 servers. Confirm installed software appears in the inventory within the collection interval. Confirm every end-of-support item has a dated remediation plan or a valid acceptance.,Monthly,4,Evidence extracted by scheduled job; human reviews exceptions only,Collection and end-of-support comparison automate; the authorized list is a governance artifact.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP SOX,13
AM-03,Asset Management,Data inventory and classification,"Data stores holding regulated or sensitive data are inventoried with data type, classification, lawful basis where applicable, retention period, owner and geographic location.",Data Governance Lead,Data inventory with the mandatory fields; discovery-scan results for regulated data types; sign-off by each data owner.,Run discovery for the regulated data types against a sample of stores not listed in the inventory. Any positive result is a completeness finding. Confirm classification labels match the data found.,Semi-annual,3,Evidence extractable on demand; human assembles and attests scope,Discovery tooling finds candidate stores; classification and lawful-basis determination are human judgements with legal input.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO SOX GDPR,16
