control_id,control_title,framework_key,framework_name,framework_control_id,mapping_strength,mapping_note
GV-01,Information security policy suite,N53,NIST SP 800-53 Rev 5,PM-1,full,
GV-01,Information security policy suite,N53,NIST SP 800-53 Rev 5,PL-1,full,
GV-01,Information security policy suite,CSF,NIST CSF 2.0,GV.PO-01,full,
GV-01,Information security policy suite,CSF,NIST CSF 2.0,GV.PO-02,full,
GV-01,Information security policy suite,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC1.1,partial,
GV-01,Information security policy suite,SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC5.3,full,
GV-01,Information security policy suite,HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.316(a),full,
GV-01,Information security policy suite,FEDRAMP,FedRAMP Moderate baseline,PL-1,full,M
GV-01,Information security policy suite,CMMC,CMMC 2.0 Level 2,CA.L2-3.12.4,partial,
GV-01,Information security policy suite,ISO,ISO/IEC 27001:2022 Annex A,A.5.1,full,
GV-01,Information security policy suite,IEC62443,ISA/IEC 62443-3-3 / -2-1,62443-2-1 4.2.2,full,
GV-01,Information security policy suite,CIP,NERC CIP,CIP-003-8 R1,full,
GV-01,Information security policy suite,SOX,SOX ITGC (PCAOB AS 2201 framing),ITGC-GOV-01,partial,
GV-01,Information security policy suite,GDPR,GDPR (Regulation (EU) 2016/679),Art.24(2),partial,
GV-02,"Security roles, responsibilities and decision authority",N53,NIST SP 800-53 Rev 5,PM-2,full,
GV-02,"Security roles, responsibilities and decision authority",N53,NIST SP 800-53 Rev 5,PS-7,supporting,
GV-02,"Security roles, responsibilities and decision authority",CSF,NIST CSF 2.0,GV.RR-01,full,
GV-02,"Security roles, responsibilities and decision authority",CSF,NIST CSF 2.0,GV.RR-02,full,
GV-02,"Security roles, responsibilities and decision authority",SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC1.3,full,
GV-02,"Security roles, responsibilities and decision authority",SOC2,"SOC 2 (TSC 2017, rev. 2022)",CC1.5,partial,
GV-02,"Security roles, responsibilities and decision authority",HIPAA,HIPAA Security Rule (45 CFR 164 subpart C),164.308(a)(2),full,
GV-02,"Security roles, responsibilities and decision authority",FEDRAMP,FedRAMP Moderate baseline,PM-2,full,M
GV-02,"Security roles, responsibilities and decision authority",ISO,ISO/IEC 27001:2022 Annex A,A.5.2,full,
GV-02,"Security roles, responsibilities and decision authority",ISO,ISO/IEC 27001:2022 Annex A,A.5.3,partial,
