control_id,implementation_status,last_tested,evidence_location,linked_exception_or_acceptance,notes
GV-01,implemented,2026-07-15,policy-repo/index,,
GV-02,implemented,2026-07-15,charter/program-charter,,
GV-03,implemented,2026-08-30,grc/exception-register,,
GV-04,partial,2026-06-30,grc/obligation-register,EX-2026-0142,
RM-01,implemented,2026-05-20,grc/risk-assessment-2026,,
RM-02,implemented,2026-09-05,grc/risk-register,,
RM-03,partial,2026-06-10,arch/system-catalog,,
AM-01,partial,2026-09-01,itsm/cmdb-reconciliation,EX-2026-0091,
AM-02,partial,2026-09-01,itsm/software-inventory,,
AM-03,planned,,,,
AM-04,partial,2026-08-12,build/sbom-index,,
AC-01,implemented,2026-09-01,iam/jml-reconciliation,,
AC-02,partial,2026-08-20,iam/standing-privilege-report,,
AC-03,implemented,2026-07-31,iam/certification-campaigns,,
AC-04,partial,2026-08-20,pam/session-index,EX-2026-0110,
AC-05,implemented,2026-07-05,net/remote-access-review,,
AC-06,partial,2026-06-30,grc/sod-conflict-report,,
IA-01,partial,2026-09-01,iam/mfa-coverage,EX-2026-0033,
IA-02,implemented,2026-09-01,iam/credential-policy,,
IA-03,planned,,,,
CM-01,partial,2026-08-15,config/conformance-scans,,
CM-02,implemented,2026-08-31,itsm/change-records,,
VM-01,partial,2026-09-01,vuln/coverage-report,,
VM-02,partial,2026-09-01,vuln/aging-report,,
VM-03,implemented,2026-04-18,assurance/pentest-2026,,
SI-01,partial,2026-09-01,endpoint/coverage-reconciled,EX-2026-0077,
SI-02,partial,2026-08-31,itsm/patch-compliance,,
SI-03,planned,,,,
AU-01,partial,2026-07-20,logging/source-inventory,,
AU-02,implemented,2026-07-20,logging/retention-config,,
AU-03,not-implemented,,,RA-2026-001,
IR-01,implemented,2026-03-14,ir/plan-v4,,
IR-02,partial,2026-08-31,ir/incident-records,,
IR-03,implemented,2026-08-31,legal/notification-assessments,,
IR-04,partial,2026-08-31,ir/pir-tracker,,
CP-01,implemented,2026-08-22,bcdr/restore-tests,,
CP-02,partial,2026-05-30,bcdr/dr-test-report,,
DP-01,implemented,2026-08-10,net/tls-scan,,
DP-02,partial,2026-08-10,cloud/encryption-state,,
DP-03,partial,2026-06-28,kms/key-inventory,,
DP-04,planned,,,,
PS-01,implemented,2026-06-01,hr/screening-records,,
PS-02,partial,2026-06-01,lms/role-completion,,
PE-01,implemented,2026-07-12,facilities/badge-review,,
PE-02,partial,2026-07-12,endpoint/media-policy,,
SA-01,partial,2026-08-05,prodsec/gate-records,,
SA-02,implemented,2026-09-01,pipeline/scan-results,,
SA-03,partial,2026-08-05,prodsec/postmarket-log,,
SA-04,not-implemented,,,EX-2026-0156,
SR-01,partial,2026-07-01,tprm/vendor-register,RA-2026-005,
SR-02,implemented,2026-07-01,legal/contract-index,,
SR-03,planned,,,,
PR-01,partial,2026-05-15,privacy/ropa,,
PR-02,implemented,2026-08-31,privacy/dsr-register,,
PR-03,partial,2026-05-15,privacy/dpia-records,,
OT-01,not-implemented,,,RA-2026-003,
OT-02,partial,2026-08-18,ot/vendor-access-log,,
OT-03,partial,2026-09-10,ot/unsupported-inventory,RA-2026-006,
NW-01,implemented,2026-09-01,net/asm-report,,
NW-02,not-implemented,,,RA-2026-004,
